ARTISTA,ARTISTB,,,,
Rik Slave°«s Country Persuasion,0.0,,,,
Rock$tarzz Hospitality Promotions,0.0,,,,
Rodeo Opry,0.0,,,,
Rome Chamber Music Festival,0.0,,,,
Ronnie Rae,0.0,,,,
Rooftop Party @ Stage 48,0.0,,,,
Ross Pead,0.0,,,,
Roy Pfeffer,0.0,,,,
Royal Roses,0.0,,,,
Ruch,0.0,,,,
Rum Diet,0.0,,,,
S. F. Comedy Showcase,0.0,,,,
SAVOY SWING,0.0,,,,
SHANTEL HEART,0.0,,,,
SOUL TIME!,0.0,,,,
SOUL TIME! Funky Soul First Fridays,0.0,,,,
SOUL TRAIN REVIVAL,0.0,,,,
STL Symphony,0.0,,,,
SUN CITY MUSIC FESTIVAL 2017,0.0,,,,
Salsa Classes,0.0,,,,
Salzburg Festival,0.0,,,,
Sam Fedele,0.0,,,,
Sammy Lopez,0.0,,,,
San Francisco International Arts Festival 2017,0.0,,,,
Sarah Mccoy and The Oopsie Daisies,0.0,,,,
Satchfield Music,0.0,,,,
Saved by the Band,0.0,,,,
Scott Parker Allen,0.0,,,,
Sean McKenzie,0.0,,,,
Session Tuesday Funk Jam,0.0,,,,
Shame for Sydney,0.0,,,,
Shark Reef at Mandalay Bay,0.0,,,,
Shelley Carrol,0.0,,,,
Shelly Burch,0.0,,,,
Shit Ghost,0.0,,,,
Shrimp City Slim  At The City Marina,0.0,,,,
Sinatra The Show,0.0,,,,
Sirocko - Music from Corsica,0.0,,,,
Skate Night ? Date Night,0.0,,,,
Skylarking,0.0,,,,
Slater,0.0,,,,
Snack Attack,0.0,,,,
So Strung Out,0.0,,,,
Society Salsa,0.0,,,,
Soho Gun Club,0.0,,,,
Solo & Alcazar Memories,0.0,,,,
Solomon's Sessions,0.0,,,,
Some Like It Hot!,0.0,,,,
Sonoma Raceway,0.0,,,,
Sons of Soul,0.0,,,,
Sons of the Blues,0.0,,,,
Soul Ayob,0.0,,,,
Soul Funky,0.0,,,,
Spigot,0.0,,,,
Spitroast,0.0,,,,
SpoComedy Presents:,0.0,,,,
Springs Contemporary Jazz Big Band at The Warehouse,0.0,,,,
Squarez,0.0,,,,
Squaring the Circle,0.0,,,,
Stage Door Tour,0.0,,,,
Stangus and Stardust Experience Obliteration,0.0,,,,
Stepping out,0.0,,,,
Sterling Gray,0.0,,,,
"Steven Schick, percussion",0.0,,,,
Stillwater Band 505,0.0,,,,
Stockholm Beer,0.0,,,,
Strings & Wings,0.0,,,,
Sunday Blues Jam,0.0,,,,
Swearwolves,0.0,,,,
Swinging Gypsies and Shotgun Jazz Band,0.0,,,,
Swingtime Jazz Quartet,0.0,,,,
"Sydney Mancasola, soprano",0.0,,,,
Symphorien Demares,0.0,,,,
Synolon,0.0,,,,
Sziget Festival 2017,0.0,,,,
T.E.E.,0.0,,,,
THE BEST OF SWAN LAKE,0.0,,,,
THE KITCHEN CLUB,0.0,,,,
THE MAR-TAYS,0.0,,,,
THE PRIMITALS,0.0,,,,
TOC TOC,0.0,,,,
TONS OF ROCK,0.0,,,,
TOTAL KARNAGE,0.0,,,,
TROJ,0.0,,,,
