ARTISTA,ARTISTB
"['149456', 'the-day-of-locusts', 'The Day Of Locusts']","['149455', 'the-day-o-locusts', 'The Day O Locusts']"
"['14946', 'beebs-and-her-moneymakers', 'Beebs and her Moneymakers']","['14945', 'beebs-and-her-money-makers', 'Beebs and Her Money Makers']"
"['149509', 'the-dead-rabbitts', 'The Dead Rabbitts']","['149508', 'the-dead-rabbits', 'The Dead Rabbits']"
"['149692', 'the-devil-wears-pada', 'The Devil Wears Pada']","['149691', 'the-devil-wear-prada', 'The Devil Wear Prada']"
"['149693', 'the-devil-wears-prada', 'The Devil Wears Prada']","['149692', 'the-devil-wears-pada', 'The Devil Wears Pada']"
"['149765', 'the-dillinger-escape-plan', 'The Dillinger Escape Plan']","['149764', 'the-dilligner-escape-plan', 'The Dilligner Escape Plan']"
"['149768', 'the-dimaggios', 'The Dimaggios']","['149723', 'the-dimaggio-s', ""The DiMaggio's""]"
"['149818', 'the-dirty-guvnahs', 'The Dirty Guvnahs']","['149817', 'the-dirty-guv-nahs', ""The Dirty Guv'nahs""]"
"['149886', 'the-district-attorneys', 'The District Attorneys']","['149885', 'the-district-attorney-s', ""The District Attorney's""]"
"['1500', 'a-brilliant-lie', 'A Brilliant Lie']","['1499', 'a-brillian-lie', 'A Brillian Lie']"
"['150110', 'the-dunderchiefs', 'The Dunderchiefs']","['150109', 'the-dunder-chiefs', 'The Dunder Chiefs']"
"['150249', 'the-ellamenobeat', 'The Ellamenobeat']","['150248', 'the-ellameno-beat', 'The Ellameno Beat']"
"['150256', 'the-elliotts', 'The Elliotts']","['150255', 'the-elliott-s', ""The Elliott's""]"
"['150272', 'the-emilys', 'The Emilys']","['150271', 'the-emily-s', ""The Emily's""]"
"['150425', 'the-explorers-club', 'The Explorers Club']","['150424', 'the-explorer-s-club', ""The Explorer's Club""]"
"['150635', 'the-fierce-57s', 'The Fierce 57s']","['150634', 'the-fierce-57-s', ""The Fierce 57's""]"
"['150666', 'the-final-clause-of-tacitus', 'The Final Clause of Tacitus']","['150665', 'the-final-claus-of-tacitus', 'The Final Claus of Tacitus']"
"['150770', 'the-flying-a-s', ""The Flying A's""]","['150769', 'the-flyin-a-s', ""The Flyin' A's""]"
"['15107', 'beitthemmeans', 'Beitthemmeans']","['15106', 'beitthemeans', 'Beitthemeans']"
"['151071', 'the-gayboys', 'The Gayboys']","['151070', 'the-gay-boys', 'The Gay Boys']"
"['151093', 'the-gentlemen-amatuers', 'The Gentlemen Amatuers']","['151092', 'the-gentlemen-amateurs', 'The Gentlemen Amateurs']"
"['151204', 'the-gloriastory', 'The GloriaStory']","['151203', 'the-gloria-story', 'The Gloria Story']"
"['15131', 'bela-b-feat-smokestack-ligthnin-peta-devlin', 'Bela B feat. Smokestack Ligthnin & Peta Devlin']","['15130', 'bela-b-feat-smokestack-lightnin-peta-devlin', ""Bela B feat. Smokestack Lightnin' & Peta Devlin""]"
"['151315', 'the-gordon-collier-band', 'The Gordon Collier Band']","['151314', 'the-gordan-collier-band', 'The Gordan Collier Band']"
"['151344', 'the-grand-astroria', 'The Grand Astroria']","['151343', 'the-grand-astoria', 'The Grand Astoria']"
"['151478', 'the-greeting-committee', 'The Greeting Committee']","['151477', 'the-greeting-comittee', 'The Greeting Comittee']"
"['151487', 'the-greyboy-allstars', 'The Greyboy Allstars']","['151486', 'the-greyboy-all-stars', 'The Greyboy All Stars']"
"['151513', 'the-grizzled-mighy', 'The Grizzled Mighy']","['151512', 'the-grizzled-mighty', 'The Grizzled Mighty']"
"['151720', 'the-haverbrook-disaster', 'The Haverbrook Disaster']","['151719', 'the-haverbook-disaster', 'The Haverbook Disaster']"
"['151721', 'the-haverbrook-distaster', 'The Haverbrook Distaster']","['151720', 'the-haverbrook-disaster', 'The Haverbrook Disaster']"
"['15202', 'bella-s-bartok', ""Bella's Bartok""]","['15201', 'bella-s-bartock', ""Bella's Bartock""]"
"['152089', 'the-hostile-apostles', 'The Hostile Apostles']","['152088', 'the-hostile-apostiles', 'The Hostile Apostiles']"
"['152124', 'the-hottman-sisters', 'The Hottman Sisters']","['152125', 'the-hottman-s-sisters', ""The Hottman's Sisters""]"
"['15217', 'belle-sebatstian', 'Belle & Sebatstian ']","['15216', 'belle-sebastian', 'Belle & Sebastian']"
"['15228', 'belle-noire', 'Belle Noire']","['15227', 'belle-noir', 'Belle Noir']"
"['152314', 'the-infamous-stringdusters', 'The Infamous Stringdusters']","['152313', 'the-infamous-string-dusters', 'The Infamous String Dusters']"
"['15259', 'bellringertx', 'BellringerTX']","['15258', 'bellringeratx', 'BellringerATX']"
"['152734', 'the-keeping-it-real-crew', 'The Keeping It Real Crew']","['152733', 'the-keepin-it-real-crew', 'The Keepin It Real Crew']"
"['152738', 'the-kelly-family', 'The Kelly Family']","['152737', 'the-kelly-familiy', 'The Kelly Familiy']"
"['15275', 'bellwhethers', 'Bellwhethers']","['15274', 'bellwethers', 'Bellwethers']"
"['152966', 'the-larry-keel-experience', 'The Larry Keel Experience']","['152965', 'the-larry-keel-expereince', 'The Larry Keel Expereince']"
"['153040', 'the-last-ten-seconds-of-life', 'The Last Ten Seconds of Life']","['153038', 'the-last-ten-second-of-life', 'The Last Ten Second of Life']"
"['153042', 'the-last-ten-secondsof-life', 'The Last Ten Secondsof Life']","['153039', 'the-last-ten-seconds-to-life', 'The Last Ten Seconds To Life']"
"['153109', 'the-legal-immigrants', 'The Legal Immigrants']","['153108', 'the-legal-immigants', 'The Legal Immigants']"
"['153118', 'the-legendary-jcs', 'The Legendary Jcs']","['153117', 'the-legendary-jc-s', ""The Legendary JC's""]"
"['153124', 'the-legendary-tigerman', 'The Legendary Tigerman']","['153123', 'the-legendary-tiger-man', 'The Legendary Tiger Man']"
"['153236', 'the-little-redmen', 'The Little Redmen']","['153235', 'the-little-red-men', 'The Little Red Men']"
"['15336', 'ben-ballinger', 'Ben Ballinger']","['15335', 'ben-balinger', 'Ben Balinger']"
"['153552', 'the-mad-anthonys', 'The Mad Anthonys']","['153551', 'the-mad-anthony-s', ""The Mad Anthony's""]"
"['153585', 'the-magick-godmothers', 'The Magick Godmothers']","['153584', 'the-magick-god-mothers', 'The Magick God Mothers']"
"['153948', 'the-mighty-trainwrecks', 'The Mighty Trainwrecks']","['153947', 'the-mighty-train-wrecks', 'The Mighty Train Wrecks']"
"['153951', 'the-migranes', 'The Migranes']","['153950', 'the-migraines', 'The Migraines']"
"['154033', 'the-mo-odds', 'The Mo-odds']","['154032', 'the-mo-odd-s', ""The Mo-Odd's""]"
"['154172', 'the-moth-storyslam', 'The Moth StorySLAM']","['154171', 'the-moth-story-slam', 'The Moth Story SLAM']"
"['154612', 'the-o-mys', ""The O'Mys""]","['154611', 'the-o-my-s', ""The O'My's""]"
"['154618', 'the-obgms', 'The OBGMs']","['154617', 'the-obgm-s', ""The OBGM's""]"
"['155402', 'the-prophecy23', 'The Prophecy23']","['155401', 'the-prophecy-23', 'The Prophecy 23']"
"['155413', 'the-proto-whats', 'The Proto Whats?']","['155412', 'the-proto-what-s', ""The Proto What's""]"
"['1556', 'a-day-to-remember', 'A Day To Remember']","['1555', 'a-day-to-remeber', 'A Day To Remeber']"
"['15563', 'ben-stalets', 'Ben Stalets']","['15562', 'ben-stalet', 'Ben Stalet']"
"['15564', 'ben-statlets', 'Ben Statlets']","['15563', 'ben-stalets', 'Ben Stalets']"
"['155662', 'the-reacharounds', 'The Reacharounds']","['155661', 'the-reach-arounds', 'The Reach Arounds']"
"['155689', 'the-real-mckenzie-s', ""The Real McKenzie's""]","['155688', 'the-real-mckennzies', 'The Real McKennzies']"
"['155690', 'the-real-mckenzies', 'The Real McKenzies']","['155689', 'the-real-mckenzie-s', ""The Real McKenzie's""]"
"['155920', 'the-reverend-peyton-s-big-damn-band', ""The Reverend Peyton's Big Damn Band""]","['177984', 'the-reverend-payton-s-big-damn-band', ""the Reverend Payton's Big Damn Band""]"
"['155921', 'the-reverend-peytons-big-damn-ban', 'The Reverend Peyton\xe2\x80\x99s Big Damn Ban']","['155920', 'the-reverend-peyton-s-big-damn-band', ""The Reverend Peyton's Big Damn Band""]"
"['15594', 'ben-williams', 'Ben Williams']","['15593', 'ben-william', 'Ben William ']"
"['156220', 'the-royal-vagabons', 'The Royal Vagabons']","['156219', 'the-royal-vagabonds', 'The Royal Vagabonds']"
"['15642', 'beneath-hells-sky', 'Beneath Hells Sky']","['15641', 'beneath-hell-s-sky', ""Beneath Hell's Sky""]"
"['15645', 'beneath-the-crown', 'Beneath The Crown']","['15658', 'beneath-the-crow', 'Beneath the Crow']"
"['156551', 'the-sha-la-las', 'The Sha La Las']","['156550', 'the-sha-la-la-s', ""The Sha La La's""]"
"['156565', 'the-shadow-mountian-band', 'The Shadow Mountian Band ']","['156564', 'the-shadow-mountain-band', 'The Shadow Mountain Band']"
"['156785', 'the-siouxsies', 'The Siouxsies']","['156784', 'the-siouxies', 'The Siouxies']"
"['156835', 'the-skins42', 'The Skins42']","['156834', 'the-skins-42', 'The Skins 42']"
"['1569', 'a-delicate-processs', 'A Delicate Processs']","['1568', 'a-delicate-process', 'A Delicate Process']"
"['157109', 'the-speed-of-sound-in-seaweater', 'The Speed of Sound in Seaweater']","['157108', 'the-speed-of-sound-in-seawater', 'The Speed Of Sound In Seawater']"
"['157226', 'the-steady-45s', 'The Steady 45s']","['157225', 'the-steady-45-s', ""The Steady 45's""]"
"['157236', 'the-steeldrivers-junior-sisk-ramblers-choice-frank-solivan-dirty-kitchen-kody-norris-the-watauga-mtn-boys-jeff-scroggins-colorado-bob-sarah-amos-friends-camptown-quickdraw-homegrown-music-steel-pennies-ron-lynam-cowtown', 'The SteelDrivers, Junior Sisk & Ramblers Choice, Frank Solivan & Dirty Kitchen, Kody Norris & The Watauga Mtn. Boys, Jeff Scroggins & Colorado, Bob & Sarah Amos & Friends, Camptown, Quickdraw Homegrown Music, Steel Pennies, Ron Lynam & Cowtown']","['157235', 'the-steeldrivers-junior-sisk-ramblers-choice-frank-solivan-dirty-kitchen-kody-norris-the-watauga-mtn-boys-jeff-scroggins-colorado-bob-sarah-amos-friends-camptown-quickdraw-homegrown-music-steel-pennies', 'The SteelDrivers, Junior Sisk & Ramblers Choice, Frank Solivan & Dirty Kitchen, Kody Norris & The Watauga Mtn. Boys, Jeff Scroggins & Colorado, Bob & Sarah Amos & Friends, Camptown, Quickdraw Homegrown Music, Steel Pennies']"
"['157250', 'the-stepping-stones', 'The Stepping Stones']","['157249', 'the-steppin-stones', 'The Steppin Stones']"
"['15727', 'benjamin-francis-leftwich', 'Benjamin Francis Leftwich']","['15726', 'benjamin-francis-leftwhich', 'Benjamin Francis Leftwhich']"
"['157345', 'the-street-walking-cheetahs-iggy-the-stooges-tribute', 'The Street Walking Cheetahs: Iggy & The Stooges tribute']","['157344', 'the-street-walking-cheetahs-iggy-and-the-stooges-tribute', 'The Street Walking Cheetahs (Iggy and the Stooges Tribute)']"
"['157364', 'the-strumbrellas', 'The Strumbrellas']","['157363', 'the-strumbellas', 'The Strumbellas']"
"['157471', 'the-supervillans', 'The Supervillans']","['157470', 'the-supervillains', 'The Supervillains']"
"['157568', 'the-tailormade', 'The Tailormade']","['157567', 'the-tailor-made', 'The Tailor Made ']"
"['157706', 'the-thrillseekers', 'The Thrillseekers']","['157705', 'the-thrillseekeers', 'The Thrillseekeers']"
"['157858', 'the-travelin-mccourys', 'The Travelin\xe2\x80\x99 McCourys']","['157854', 'the-travelin-mccoury-s', ""The Travelin' McCoury's""]"
"['15786', 'benno-bloome', 'Benno Bloome']","['15785', 'benno-blome', 'Benno Blome']"
"['158135', 'the-van-gohs', 'The Van Gohs']","['178090', 'the-van-goghs', 'the Van Goghs']"
"['158601', 'the-whipporwills', 'The Whipporwills']","['158600', 'the-whippoorwills', 'The Whippoorwills']"
"['158693', 'the-wild-feathers', 'The Wild Feathers']","['158692', 'the-wild-feather', 'The Wild Feather']"
"['158755', 'the-wind-ups', 'The Wind Ups']","['158754', 'the-wind-up', 'The Wind Up']"
"['158756', 'the-windermeres', 'The Windermeres']","['178113', 'the-windemeres', 'the Windemeres']"
"['158777', 'the-wise-mans-fear', 'The Wise Mans Fear']","['158776', 'the-wise-man-s-fear', ""The Wise Man's Fear""]"
"['158854', 'the-wooly-bushmen', 'The Wooly Bushmen']","['158853', 'the-woolly-bushmen', 'The Woolly Bushmen']"
"['159016', 'the-zenith-passage', 'The Zenith Passage']","['159015', 'the-zenith-pasage', 'The Zenith Pasage']"
"['15905', 'berliner-philharmoniker', 'Berliner Philharmoniker']","['15904', 'berliner-philharmonike', 'Berliner Philharmonike']"
"['159243', 'them-duquaines', 'Them Duquaines']","['159242', 'them-duqaines', 'Them Duqaines']"
"['159256', 'them-slackjawed-sons-of-bitches', 'Them Slackjawed Sons of Bitches']","['159255', 'them-slack-jaw-sons-of-bitches', 'Them Slack Jaw Sons Of Bitches']"
"['159271', 'theo-takun-techno-club-ourense', 'Theo / Takun Techno Club / Ourense']","['144435', 'theo-takun-techno-club-orense', 'THEO / Takun Techno Club ( orense )']"
"['15930', 'bernard-lavilliers', 'Bernard Lavilliers']","['15929', 'bernard-lavillers', 'Bernard Lavillers']"
"['159373', 'these-septic-stars', 'These Septic Stars']","['159372', 'these-sceptic-stars', 'These Sceptic Stars']"
"['15939', 'bernard-weidmann', 'Bernard Weidmann']","['15938', 'bernard-weidman', 'Bernard Weidman']"
"['159448', 'thievery-corporation', 'Thievery Corporation']","['159447', 'thievery-corperation', 'Thievery Corperation']"
"['159624', 'this-or-the-apocolypse', 'This Or The Apocolypse']","['159662', 'this-or-the-apocalypse', 'This or the Apocalypse']"
"['159650', 'this-years-ghost', 'This Years Ghost']","['159649', 'this-year-s-ghost', ""This Year's Ghost""]"
"['159721', 'thomas-cordoglii', 'Thomas Cordoglii']","['159720', 'thomas-cordogli', 'Thomas Cordogli']"
"['159731', 'thomas-dybdal', 'Thomas Dybdal']","['159730', 'thomas-dybdahl', 'Thomas Dybdahl']"
"['159745', 'thomas-galliano', 'Thomas Galliano']","['159744', 'thomas-galiano', 'Thomas Galiano']"
"['159904', 'those-rotten-thieves', 'Those Rotten Thieves']","['159903', 'those-rotten-theives', 'Those Rotten Theives']"
"['159930', 'thousand-foot-krutch', 'Thousand Foot Krutch']","['159929', 'thousand-food-krutch', 'Thousand Food Krutch']"
"['160018', 'three-man-canon', 'Three Man Canon']","['160017', 'three-man-cannon', 'Three Man Cannon']"
"['160128', 'through-thorn-and-brier', 'Through Thorn and Brier']","['160127', 'through-thorn-and-bier', 'Through Thorn and Bier']"
"['160336', 'tidal-concerts-londong', 'Tidal Concerts LondonG']","['160335', 'tidal-concerts-london', 'Tidal Concerts London']"
"['160337', 'tidal-concerts-londont', 'Tidal Concerts LondonT']","['160336', 'tidal-concerts-londong', 'Tidal Concerts LondonG']"
"['160338', 'tidal-concets-london', 'Tidal Concets London']","['160337', 'tidal-concerts-londont', 'Tidal Concerts LondonT']"
"['160406', 'tift-merritt', 'Tift Merritt']","['160405', 'tift-merrit', 'Tift Merrit']"
"['160568', 'tim-barry', 'Tim Barry']","['160567', 'tim-barrry', 'Tim Barrry']"
"['16061', 'bet-me-im-lying', 'Bet Me Im Lying']","['16060', 'bet-me-i-m-lying', ""Bet Me I'm Lying""]"
"['160869', 'timmy-jonas-the-whisky-militia', 'Timmy Jonas & The Whisky Militia']","['160870', 'timmy-jonas-the-whiskey-militia', 'Timmy Jonas & the Whiskey Militia']"
"['160956', 'tinderbox', 'Tinderbox']","['160955', 'tinder-box', 'Tinder Box']"
"['161033', 'tir-nanog', 'Tir Nanog']","['161034', 'tir-na-nog', 'Tir na nOg']"
"['161080', 'tito-puentes-jr', 'Tito Puentes Jr ']","['161079', 'tito-puente-jr', 'Tito Puente Jr.']"
"['161196', 'tobi-tobanna', 'Tobi Tobanna']","['161195', 'tobi-tobana', 'Tobi Tobana']"
"['161290', 'todd-day-waits-pigpen', ""Todd Day Waits' Pigpen""]","['161289', 'todd-day-wait-s-pigpen', ""Todd Day Wait's Pigpen""]"
"['161349', 'todd-on-gtr-vocals-andy-on-fiddle-trumpet-joel-on-upright-bass-rich-on-cajon', 'Todd on Gtr/Vocals, Andy on Fiddle/Trumpet, Joel on Upright Bass & Rich on Cajon']","['178288', 'todd-on-gtr-vocals-andy-on-fiddle-trumpet-joel-on-upright-bass-myron-on-cajon', 'todd on Gtr/Vocals, Andy on Fiddle/Trumpet, Joel on Upright Bass & Myron on Cajon']"
"['161389', 'todd-on-guitar-vocals-anne-marie-vocals-percussion-rich-cajon-percussion', 'Todd on guitar/vocals, Anne-Marie vocals/percussion, Rich cajon/percussion']","['161388', 'todd-on-guitar-vocals-anne-marie-on-vocals-percussion-rich-cajon-percussion', 'Todd on guitar/vocals, Anne-Marie on vocals/percussion, Rich cajon/percussion']"
"['161755', 'tom-worrell', 'Tom Worrell']","['161754', 'tom-worrel', 'Tom Worrel']"
"['1618', 'a-fragile-tomorrow', 'A Fragile Tomorrow']","['1617', 'a-fragile-tommorrow', 'A Fragile Tommorrow']"
"['161871', 'tommy-dastardly-the-notorious-backsliders', 'Tommy Dastardly & The Notorious Backsliders']","['161872', 'tommy-dastardly-and-the-notorious-backsliders', 'Tommy Dastardly and the Notorious Backsliders']"
"['162026', 'tongue-n-cheek', 'Tongue ""n"" Cheek ']","['162029', 'tongue-in-cheek', 'Tongue In Cheek']"
"['162037', 'toni-holgersson', 'Toni Holgersson']","['144633', 'toni-holgerson', 'TONI HOLGERSON']"
"['162178', 'tony-macalpine', 'Tony MacAlpine']","['162177', 'tony-mac-alpine', 'Tony Mac Alpine']"
"['16228', 'between-the-burried-and-me', 'Between the Burried and Me']","['16227', 'between-the-buried-and-me', 'Between the Buried and Me']"
"['162306', 'tool-tribute-band-schism', 'Tool Tribute Band Schism']","['162308', 'tool-tribute-bad-schism', 'Tool tribute bad SCHISM']"
"['162426', 'torn-at-the-seams', 'Torn at the Seams']","['162420', 'torn-at-the-seam', 'Torn At The Seam']"
"['162655', 'toxic-holocaust', 'Toxic Holocaust']","['162654', 'toxic-holcaust', 'Toxic Holcaust']"
"['163190', 'trees-maries-and-the-heavy-hearts', 'Trees Maries and The Heavy Hearts']","['163189', 'trees-marie-and-the-heavy-hearts', 'Trees Marie and the Heavy Hearts']"
"['1632', 'a-god-or-another', 'A God or Another']","['1633', 'a-god-or-an-other', 'A God or an Other']"
"['16333', 'beyond-the-gates', 'Beyond the Gates']","['16332', 'beyond-the-gate', 'Beyond the Gate']"
"['163334', 'tri-county-terror', 'Tri County Terror']","['163333', 'tri-country-terror', 'Tri Country Terror']"
"['16352', 'bhorelorde', 'Bhorelorde']","['16351', 'bhorelord', 'Bhorelord']"
"['163727', 'troubadour77', 'Troubadour77']","['163726', 'troubadour-77', 'Troubadour 77']"
"['163756', 'trout-steak-revival', 'Trout Steak Revival']","['163755', 'trout-stake-revival', 'Trout Stake Revival']"
"['163809', 'truck-stop-troubabours', 'Truck Stop Troubabours']","['163808', 'truck-stop-trouabdours', 'Truck Stop Trouabdours']"
"['163810', 'truck-stop-troubadours', 'Truck Stop Troubadours']","['163809', 'truck-stop-troubabours', 'Truck Stop Troubabours']"
"['164133', 'turnpike-troubadors', 'Turnpike Troubadors']","['164132', 'turnpike-troubabdours', 'Turnpike Troubabdours']"
"['164134', 'turnpike-troubadours', 'Turnpike Troubadours']","['164133', 'turnpike-troubadors', 'Turnpike Troubadors']"
"['16431', 'big-anton-the-alleycats', 'Big Anton & The Alleycats']","['16432', 'big-anton-the-alley-cats', 'Big Anton & the Alley Cats']"
"['16432', 'big-anton-the-alley-cats', 'Big Anton & the Alley Cats']","['16430', 'big-anton-the-alley-cat', 'Big Anton & The Alley Cat']"
"['164499', 'tygers-of-pantang', 'Tygers Of Pantang']","['164500', 'tygers-of-pan-tang', 'Tygers of Pan Tang']"
"['164900', 'ugly-mc-beer', 'Ugly Mc Beer']","['164899', 'ugly-mac-beer', 'Ugly Mac Beer']"
"['165049', 'umphrey-s-mgee', ""Umphrey's Mgee""]","['165048', 'umphrey-s-mcgee', ""Umphrey's McGee""]"
"['165171', 'unconscious-collective', 'Unconscious Collective']","['165170', 'unconscious-collectice', 'Unconscious Collectice']"
"['165198', 'under-clouds-and-surveillance', 'Under Clouds and Surveillance']","['165197', 'under-clouds-and-surveilance', 'Under Clouds and Surveilance']"
"['165199', 'under-clouds-and-surveillence', 'Under Clouds and Surveillence']","['165198', 'under-clouds-and-surveillance', 'Under Clouds and Surveillance']"
"['165277', 'underhill-family-orchestra', 'Underhill Family Orchestra']","['165276', 'underhill-family-ochestra', 'Underhill Family Ochestra']"
"['165348', 'unicorn-hunters', 'Unicorn Hunters']","['165353', 'unicorn-hunter', 'Unicorn hunter']"
"['165552', 'unsung-lily', 'Unsung Lily']","['165551', 'unsung-lilly', 'Unsung Lilly']"
"['165683', 'uptown-funky', 'Uptown Funky']","['165682', 'uptown-funk', 'Uptown Funk']"
"['165844', 'v-drums-roland-corporation-us', 'V-Drums Roland Corporation US']","['165843', 'v-drums-roland-coporation-us', 'V-Drums Roland Coporation US']"
"['166114', 'vacationer', 'Vacationer']","['166113', 'vacationeer', 'Vacationeer']"
"['166241', 'valhallas-pirates', 'Valhallas Pirates']","['166240', 'valhalla-s-pirates', ""Valhalla's Pirates""]"
"['166247', 'valient-thorr', 'Valient Thorr']","['178388', 'valien-thorr', 'valien thorr']"
"['166253', 'valis-ablaze', 'Valis Ablaze']","['166252', 'valis-abaze', 'Valis Abaze']"
"['166346', 'van-gordon-martin-band', 'Van Gordon Martin Band']","['166345', 'van-gordan-martin-band', 'Van Gordan Martin Band']"
"['166404', 'vanderbyst', 'Vanderbyst']","['166403', 'vanderbuyst', 'Vanderbuyst']"
"['166584', 'vaudevileins', 'Vaudevileins']","['166583', 'vaudevileians', 'Vaudevileians']"
"['166694', 'velvet-mornings', 'Velvet Mornings']","['166693', 'velvet-morning', 'Velvet Morning']"
"['166748', 'venomous-maximus', 'Venomous Maximus']","['166747', 'venomous-maximous', 'Venomous Maximous']"
"['166773', 'venus-envy', 'Venus Envy']","['166772', 'venus-envey', 'Venus Envey']"
"['166808', 'verdigrls', 'Verdigrls']","['166807', 'verdigirls', 'Verdigirls']"
"['1669', 'a-jokers-rage', 'A Jokers Rage']","['1666', 'a-joker-s-rage', ""A JOKER'S RAGE""]"
"['167085', 'vicious-rumours', 'Vicious Rumours']","['167084', 'vicious-rumors', 'Vicious Rumors']"
"['167100', 'vicky-and-the-vengents', 'Vicky and The Vengents']","['167099', 'vicky-an-the-vengents', 'Vicky an The Vengents']"
"['1673', 'a-killers-confession', 'A Killers Confession']","['1672', 'a-killer-s-confession', ""A Killer's Confession""]"
"['167337', 'villem-mcleod', 'Villem & McLeod']","['167336', 'villem-mccleod', 'Villem & McCleod']"
"['167366', 'vince-gill', 'Vince Gill']","['167365', 'vince-gil', 'Vince Gil']"
"['167452', 'vinnie-and-the-hooligans', 'Vinnie And The Hooligans']","['167461', 'vinnie-and-the-holligans', 'Vinnie and the Holligans']"
"['167563', 'violet-delancy', 'Violet Delancy']","['167562', 'violet-delancey', 'Violet Delancey']"
"['167631', 'virginie-teychene-vocal-stephane-bernard-piano-gerard-maurin-contrebasse-jean-pierre-arnaud-batteri', 'Virginie Teychen\xc3\xa9 (vocal), St\xc3\xa9phane Bernard (piano), G\xc3\xa9rard Maurin (contrebasse), Jean-Pierre Arnaud (batteri']","['167632', 'virginie-teychene-chant-stephane-bernard-piano-gerard-maurin-contrebasse-jean-pierre-arnaud-batterie', 'Virginie Teychen\xc3\xa9, chant, St\xc3\xa9phane Bernard (piano), G\xc3\xa9rard Maurin (contrebasse), Jean-Pierre Arnaud (batterie)']"
"['167654', 'virus-syndicate', 'Virus Syndicate']","['167653', 'virus-syndicat', 'Virus Syndicat']"
"['16790', 'bigfoot-yancy', 'Bigfoot Yancy']","['16789', 'bigfoot-yancey', 'Bigfoot Yancey']"
"['167944', 'vokabkompany', 'VokabKompany']","['167943', 'vokab-kompany', 'Vokab Kompany']"
"['168045', 'von-stranz', 'Von Stranz']","['166057', 'von-strantz', 'VON Strantz']"
"['168078', 'voodoo-glow-skulls', 'Voodoo Glow Skulls']","['168077', 'voodoo-glow-skull', 'Voodoo Glow Skull']"
"['168288', 'w-jarrod-birmingham', 'W/ Jarrod Birmingham']","['178478', 'w-jarod-birmingham', 'w/ Jarod Birmingham']"
"['168505', 'world-class-art-thieves', 'WORLD CLASS ART THIEVES']","['172114', 'world-class-art-theives', 'World Class Art Theives ']"
"['16869', 'bill-evans-soulgrass', 'Bill Evans Soulgrass']","['16868', 'bill-evans-soul-grass', 'Bill Evans Soul Grass']"
"['168726', 'walker-lukens-the-sidearms', 'Walker Lukens & The Sidearms']","['168725', 'walker-lukens-the-side-arms', 'Walker Lukens & The Side Arms']"
"['169295', 'wax-tialor-live-band', 'Wax Tialor Live Band']","['169294', 'wax-tailor-live-band', 'Wax Tailor live band']"
"['1693', 'a-life-forsaken', 'A Life Forsaken']","['1692', 'a-life-forsaen', 'A Life Forsaen']"
"['169322', 'waymores-outlaws', 'Waymores Outlaws']","['169321', 'waymore-s-outlaws', ""Waymore's Outlaws""]"
"['169355', 'wayne-shorter-quartet', 'Wayne Shorter Quartet']","['169354', 'wayne-shorter-quartert', 'Wayne Shorter Quartert']"
"['169413', 'we-are-hartlot', 'We Are Hartlot']","['169412', 'we-are-harlot', 'We Are Harlot']"
"['169437', 'we-are-scientist', 'We Are Scientist']","['169436', 'we-are-scientis', 'We Are Scientis']"
"['169438', 'we-are-scientists', 'We Are Scientists']","['169437', 'we-are-scientist', 'We Are Scientist']"
"['169499', 'we-could-be-astronauts', 'We Could Be Astronauts']","['169498', 'we-could-be-astronaughts', 'We Could Be Astronaughts']"
"['1695', 'a-life-in-arms-reach', 'A Life In Arms Reach']","['1694', 'a-life-in-arm-s-reach', ""A Life In Arm's Reach""]"
"['169628', 'we-ve-been-decieved', ""We've Been Decieved""]","['169627', 'we-ve-been-deceived', ""We've Been Deceived""]"
"['169646', 'weakened-friends', 'Weakened Friends']","['169645', 'weakend-friends', 'Weakend Friends']"
"['169648', 'weakercaptain', 'WeakerCaptain']","['169647', 'weaker-captain', 'Weaker Captain']"
"['169672', 'weary-travlers', 'Weary Travlers']","['169671', 'weary-travelers', 'Weary Travelers']"
"['16971', 'billy-bob-thorton-the-boxmasters', 'Billy Bob Thorton & The Boxmasters']","['16970', 'billy-bob-thornton-the-boxmasters', 'Billy Bob Thornton | The Boxmasters']"
"['169832', 'welicoruss', 'Welicoruss']","['169831', 'welichoruss', 'Welichoruss']"
"['169961', 'wesliband', 'WesliBand']","['168398', 'wesli-band', 'WESLI BAND']"
"['170039', 'westerners', 'Westerners']","['170038', 'westerner', 'Westerner']"
"['170170', 'wheelchair-sportscamp', 'Wheelchair Sportscamp']","['170169', 'wheelchair-sports-camp', 'Wheelchair Sports Camp']"
"['170171', 'wheelchairsportscamp', 'WheelchairSportsCamp']","['170170', 'wheelchair-sportscamp', 'Wheelchair Sportscamp']"
"['170208', 'when-reasons-collapse', 'When Reasons Collapse']","['178602', 'when-reason-collapse', 'when reason collapse']"
"['170259', 'while-she-sleeps', 'While She Sleeps']","['170258', 'while-she-sleep', 'While She Sleep']"
"['170285', 'whirlybirds', 'Whirlybirds']","['170284', 'whirlybird', 'Whirlybird']"
"['170448', 'white-fuzzy-bloodbath', 'White Fuzzy Bloodbath']","['170447', 'white-fuzz-blood-bath', 'White Fuzz Blood Bath']"
"['170464', 'white-knuckle-blackout', 'White Knuckle Blackout']","['170463', 'white-knuckle-black-out', 'White Knuckle Black Out']"
"['170475', 'white-lightning', 'White Lightning']","['170474', 'white-lightening', 'White Lightening']"
