TYPE : TSP
DIMENSION : 744
EDGE_WEIGHT_TYPE : GEO
NODE_COORD_SECTION
428 39.4872 -79.5326
429 39.4872 -79.5326
430 39.5896 -84.7848
431 37.7439 -84.9843
432 41.3191 -81.0358
433 39.1149 -84.4376
434 39.8072 -83.8875
435 39.1149 -84.4376
436 39.1398 -84.5131
437 39.1398 -84.5131
438 39.1149 -84.4376
439 39.1149 -84.4376
440 41.3191 -81.0358
441 39.1149 -84.4376
442 39.7789 -84.055
443 39.1149 -84.4376
444 39.8053 -86.1679
445 39.2072 -86.2511
446 39.1149 -84.4376
447 39.1149 -84.4376
448 40.0072 -83.0096
449 41.0637 -80.056
450 39.1149 -84.4376
451 39.2278 -84.3247
452 39.1149 -84.4376
453 38.2531 -85.6572
454 39.1149 -84.4376
455 37.7439 -84.9843
456 40.38 -83.67
457 39.1149 -84.4376
458 39.4862 -79.5309
459 39.4862 -79.5309
460 39.4862 -79.5309
461 39.1149 -84.4376
462 38.2531 -85.6572
463 39.9383 -82.4084
464 39.1398 -84.5131
465 39.1149 -84.4376
466 39.3 -81.9072
467 39.3 -81.9072
468 39.1413 -84.5104
469 39.1149 -84.4376
470 39.6297 -79.9582
471 39.5031 -82.0847
472 39.1149 -84.4376
473 39.9848 -83.0376
474 39.5896 -84.7848
475 40.0072 -83.0096
476 39.1149 -84.4376
477 38.2531 -85.6572
478 41.0637 -80.056
479 39.1149 -84.4376
480 39.3276 -82.1023
481 41.3191 -81.0358
482 39.9848 -83.0376
483 39.1149 -84.4376
484 40.5691 -89.6463
485 39.1677 -86.5341
486 39.8053 -86.1679
487 40.1979 -85.4048
488 44.9638 -93.2471
489 40.0189 -105.275
490 40.5883 -105.077
491 39.1876 -106.819
492 40.0181 -105.278
493 39.7369 -104.983
494 39.7369 -104.983
495 38.8591 -104.918
496 39.7402 -104.978
497 40.0081 -105.276
498 39.1149 -84.4376
499 39.2278 -84.3247
500 39.3276 -82.1023
501 39.1149 -84.4376
502 39.2929 -83.986
503 39.1149 -84.4376
504 38.2531 -85.6572
505 39.8072 -83.8875
506 41.0637 -80.056
507 39.1149 -84.4376
508 41.5715 -81.5704
509 39.1149 -84.4376
510 39.1149 -84.4376
511 39.1149 -84.4376
512 39.2278 -84.3247
513 39.1149 -84.4376
514 39.2278 -84.3247
515 39.2278 -84.3247
516 39.1149 -84.4376
517 39.2278 -84.3247
518 39.2278 -84.3247
519 39.3276 -82.1023
520 39.1149 -84.4376
521 39.2278 -84.3247
522 39.7789 -84.055
523 38.0541 -84.4863
524 39.1149 -84.4376
525 39.2278 -84.3247
526 39.1943 -84.4005
527 41.7196 -86.9058
528 39.1149 -84.4376
