 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Dee Dee Bridgewater ,872059.604109, ,
 , Beyond ,871601.500692, ,
 , Audiofly ,870978.818145, ,
 , Papa Roach ,869990.915415, ,
 , Paramore ,867178.649407, ,
 , John O'Callaghan ,866666.314547, ,
 , Lounge ,865082.173802, ,
 , Louie Vega ,865029.919641, ,
 , Steve Earle ,864342.543227, ,
 , Friction ,863660.699284, ,
 , Megadeth ,862858.126466, ,
 , Nick Curly ,862653.491123, ,
 , Catz N Dogz ,862517.002652, ,
 , Michael Franti & Spearhead ,862316.636606, ,
 , Timmy Trumpet ,862309.148713, ,
 , Adam Beyer ,861881.622211, ,
 , Testament ,861166.153297, ,
 , Headhunterz ,858951.028962, ,
 , Pitbull ,857487.87924, ,
 , Hot Since 82 ,857097.381988, ,
 , Uner ,856604.265337, ,
 , Jimmy Edgar ,856547.514302, ,
 , Main floor ,856220.621771, ,
 , New Found Glory ,855971.633695, ,
 , Asking Alexandria ,855049.272873, ,
 , Alice Cooper ,853363.499295, ,
 , Reel Big Fish ,853193.588946, ,
 , Maceo Parker ,851913.285893, ,
 , Kool & The Gang ,851423.810529, ,
 , MEN ,851003.241174, ,
 , DJ Sneak ,850187.531393, ,
 , Judy Collins ,849592.941624, ,
 , Bone Thugs-n-Harmony ,848895.235252, ,
 , Peter White ,848399.809459, ,
 , Gorgon City ,847439.866807, ,
 , The Show ,846552.700925, ,
 , Joshua Redman ,845757.699893, ,
 , Mayday Parade ,845024.445768, ,
 , MAKJ ,844284.170961, ,
 , Nasty ,844214.236421, ,
 , Dj Tennis ,844213.236413, ,
 , Umek ,843873.87823, ,
 , Coheed and Cambria ,843837.664803, ,
 , Jesse Rose ,843439.109677, ,
 , Rise Against ,843331.141953, ,
 , Dimitri Vegas And Like Mike ,841412.56436, ,
 , DJ Shadow ,840798.675637, ,
 , Flying Lotus ,839049.773137, ,
 , Muse ,838981.218658, ,
 , Bayside ,838899.801305, ,
 , The Gaslamp Killer ,837875.112252, ,
 , Jack Beats ,837047.435276, ,
 , Willie Nelson ,836781.404769, ,
 , Lee Burridge ,835753.033691, ,
 , VINAI ,835470.132063, ,
 , Tim Sweeney ,835282.932282, ,
 , Audien ,835214.870915, ,
 , Carnifex ,833933.22264, ,
 , The Word Alive ,833874.026574, ,
 , Norman Doray ,833825.039558, ,
 , George Clinton & Parliament Funkadelic ,833480.016008, ,
 , Josh Wink ,833314.430173, ,
 , Ben Harper ,832439.101641, ,
 , Don Diablo ,829122.183581, ,
 , Jason Mraz ,828537.851321, ,
 , The Temper Trap ,827285.113385, ,
 , Christian Smith ,827130.569829, ,
 , Dianne Reeves ,826299.728491, ,
 , Bassnectar ,825565.926202, ,
 , Tale Of Us ,825060.506986, ,
 , Barem ,825039.409621, ,
 , Orjan Nilsen ,823733.112118, ,
 , Pillowtalk ,821744.066567, ,
 , Reverend Horton Heat ,821498.272983, ,
 , Satisfaction ,819626.79556, ,
 , Tom Swoon ,819357.278804, ,
 , Skillet ,819117.602103, ,
 , Francois K ,818729.171029, ,
 , Flux Pavilion ,818663.987119, ,
 , The Kooks ,818076.456582, ,
 , Korn ,817119.599064, ,
 , Robert Randolph & the Family Band ,816477.02558, ,
 , MC ,815473.219501, ,
 , Two Door Cinema Club ,814239.843841, ,
 , Joe Louis Walker ,813998.742772, ,
 , Steve Bug ,813637.240976, ,
 , DJ Vadim ,813133.812696, ,
 , Esperanza Spalding ,812210.062105, ,
 , Miguel Migs ,811748.56429, ,
 , The Oak Ridge Boys ,811689.361305, ,
 , Dennis Ferrer ,810577.190374, ,
 , Nina Kraviz ,810497.871416, ,
 , Madball ,810002.217377, ,
 , Styx ,809669.951709, ,
 , Clutch ,809436.420816, ,
 , Chase & Status ,809020.546934, ,
 , Colin Hay ,808715.898063, ,
 , The Book of Mormon ,807911.587611, ,
 , Bjorn Again ,806790.862573, ,
