 nom,km,pos
 Nancy Kerr ,7086.908773,33953
 A Quatre Épingles ,7085.490489,33954
 Shaka Loves You ,7085.234488,33955
 The Lonelyhearts ,7083.341756,33956
 Giant Kitty ,7081.907961,33957
 Lud Foe ,7079.863696,33958
 Daniel Herskedal ,7079.685762,33959
 Thick Paint ,7078.55587,33960
 Paulo Mendonça ,7077.444221,33961
 Luke Cunningham ,7077.443002,33962
 Plants and Animals ,7076.797033,33963
 Sirona ,7076.715258,33964
 Vincent Dedienne ,7076.351125,33965
 The Lords of Liechtenstein ,7076.169169,33966
 Fletcher Rockwell ,7075.595253,33967
 Sandro Zerafa ,7075.530204,33968
 Chronologist ,7075.229876,33969
 Coldtrain ,7073.52311,33970
 White Fuzzy Bloodbath ,7073.315857,33971
 Ursina ,7073.081397,33972
 WILD NIGHT ,7072.203132,33973
 Laura Durrant ,7071.261014,33974
 Cavale ,7070.603852,33975
 Lucy Zirins ,7069.819498,33976
 Pleasure House ,7069.135065,33977
 RaNdALL ConRAD! OLiNgeR ,7068.75358,33978
 Rough Justice ,7068.687647,33979
 Dyr Faser ,7067.353959,33980
 Robert Mirabal ,7067.351676,33981
 Solveig Slettahjell ,7067.212197,33982
 Knut Reiersrud ,7067.212197,33983
 Knowa Lusion ,7066.722765,33984
 Spanish Love Songs ,7065.749618,33985
 LOTP Band Tampa_ FL ,7063.822431,33986
 Fred's House ,7063.150283,33987
 SICKRET ,7062.703343,33988
 1939 Ensemble ,7061.993487,33989
 HR ,7060.871072,33990
 Chris Shrader Fan Page ,7060.277518,33991
 Graham Robertson ,7058.892914,33992
 Christian Ingebrigtsen ,7058.768383,33993
 Jake Quickenden ,7057.39696,33994
 BackPorch Bluegrass ,7056.841466,33995
 Zoë Nutt ,7055.883537,33996
 MICHEL JONASZ QUARTET SAISON 2 ,7055.79528,33997
 Brandon Pasion ,7055.320297,33998
 The Weekend ,7053.820105,33999
 DJ Freddy Bello ,7050.517223,34000
 Punches ,7049.818314,34001
 Dan+Shay ,7049.548758,34002
 Cole Risner Music ,7048.800411,34003
 Sacrocurse ,7046.560124,34004
 Roger Arntzen ,7045.742566,34005
 Pål Hausken ,7045.742566,34006
 Morten Qvenild ,7045.742566,34007
 Necro Deathmort ,7045.236588,34008
 Joe Gorgeous ,7045.057194,34009
 FUTURECASTLE ,7043.993429,34010
 endless sacrifice ,7042.332692,34011
 Malcolm Rivers ,7042.288209,34012
 DM Stith ,7041.917811,34013
 Symbolik ,7041.796468,34014
 Nick Garcia ,7041.616607,34015
 Etienne Stadwijk-keys ,7041.479446,34016
 Resilient ,7040.651011,34017
 Everglow ,7040.057588,34018
 Tom Ellis ,7039.295386,34019
 Stroke 9 ,7038.075006,34020
 Armia ,7037.58862,34021
 Walk the talk ,7036.654848,34022
 Futures ,7035.026747,34023
 Cas One vs. Figure ,7034.31433,34024
 Mathilde ,7033.078108,34025
 Wheelchair Sports Camp ,7032.879489,34026
 Gino Paoli ,7028.95168,34027
 Kentucky Wildcats Mens Basketball ,7028.110805,34028
 Maren Kroymann ,7027.070861,34029
 Wildspeaker ,7027.070426,34030
 Kitty Hoff ,7025.343666,34031
 Adrienne Haan ,7025.305315,34032
 Käptn Peng ,7024.888123,34033
 Andalyn ,7024.438311,34034
 Junk FM ,7024.334584,34035
 Yheti ,7023.526381,34036
 Willy Joy ,7023.455557,34037
 Olivia Mainville & The Aquatic Troupe ,7019.926386,34038
 Antigone Rising ,7017.870606,34039
 Stomy Bugsy ,7017.785047,34040
 Bruno Angelini ,7017.238368,34041
 Sean Flynn ,7017.180128,34042
 Victor Shores ,7014.192559,34043
 Antietam ,7012.60509,34044
 Flashback Four ,7012.08455,34045
 The World I Knew ,7011.109016,34046
 Davi dB ,7008.94975,34047
 Strangetowne ,7008.213246,34048
 eyeQ ,7008.093171,34049
 Acoustic Christmas Tour ,7007.378252,34050
 The Wonderfool ,7006.294539,34051
 8Lb Pressure ,7006.247522,34052
 Boi Jeanius ,7005.215872,34053
 Sunsleeper ,7004.109266,34054
 prom date ,7001.947488,34055
 Heavyweight Dub Champion ,7001.610994,34056
 Melissa Farrior Music ,7000.976891,34057
 Wizard Apprentice ,7000.776587,34058
 Carly Burruss ,6999.77292,34059
 Lingalad ,6999.482045,34060
 Pierre Deutschmann ,6999.243688,34061
 Brenda Nicole Moorer ,6999.017746,34062
 Death March ,6998.971206,34063
 Poranguí ,6997.010748,34064
 Buffalo Ruckus ,6996.889731,34065
 Starfish ,6995.794421,34066
 Tourist lemc ,6995.432859,34067
 FIL BO RIVA ,6995.211085,34068
 Erin and Her Cello ,6993.569877,34069
 David Luning ,6993.177809,34070
 Marley's Ghost (Tribute) ,6993.062203,34071
 Los Disidentes Del Sucio Motel ,6990.796549,34072
 LuxDeluxe ,6990.224396,34073
 The Sons of Pitches ,6987.317532,34074
 Thegiornalisti ,6984.130135,34075
 Youarehere ,6983.789636,34076
 The Qemists ,6983.71518,34077
 Raye ,6983.149336,34078
 Atriohm ,6982.950279,34079
 At The Wayside ,6982.669983,34080
 Violinbwoy ,6977.350371,34081
 Velvet Black ,6973.71347,34082
 Trine Rein ,6973.084401,34083
 Shirley Clamp ,6972.113361,34084
 Triptik ,6969.491082,34085
 58 Shots ,6968.150953,34086
 Megadeth Uk ,6966.733914,34087
 Ohio State Buckeyes Football ,6965.686772,34088
 Planet Manhood ,6965.605094,34089
 Graham Saber ,6965.485919,34090
 New Shack ,6964.589222,34091
 Hey Rosetta! ,6962.970678,34092
 PUNANI HUNTAH ,6962.557232,34093
 Ludwig Von 88 ,6960.60291,34094
 Criminal Mind ,6959.145307,34095
 Betty Argo ,6958.289023,34096
 Cold Blue ,6958.224252,34097
 KICK- The INXS Experience ,6957.658554,34098
 La Banda Skalavera ,6957.20773,34099
 Slowcoaches ,6956.312645,34100
 Darkc3ll ,6955.697593,34101
 Mauro Gargano ,6950.777166,34102
 Florian Schroeder ,6949.728827,34103
 Jackson Live In Concert Starring Ben ,6949.558474,34104
 Detriment ,6949.525683,34105
 Malphas ,6948.163777,34106
 Oceanside Sound System ,6947.934552,34107
 Haley Montgomery ,6947.755552,34108
 Desecrated Remains ,6947.718581,34109
 Miss Kittin ,6947.381476,34110
 Sibiir ,6945.790692,34111
 The Jazz Butcher ,6945.392448,34112
 Atom Smash ,6945.188345,34113
 Adam Beattie ,6944.759877,34114
 The Groovelvets ,6942.808081,34115
 Unleash The Sky ,6942.361744,34116
 Labyrint ,6941.44538,34117
 Fidelity Kastrow ,6940.532636,34118
 Strange Majik ,6939.72113,34119
 BLOOD COMMAND ,6938.438407,34120
 The Glimmer Twins - Rolling Stones Tribute ,6936.594314,34121
 Left Coast Country ,6936.147079,34122
 Moony Me ,6935.532252,34123
 Jordan Baumstark ,6935.105973,34124
 Altars ,6934.658559,34125
 Pærish ,6933.649094,34126
 This Gift is A Curse ,6933.561629,34127
 Matthew and Me ,6933.069355,34128
 John Kirkpatrick ,6932.700693,34129
 Hunter Dumped Us Here ,6931.628471,34130
 Revelator Hill ,6931.073471,34131
 Greta Van Fleet ,6930.226022,34132
 Sarah Dawn Finer ,6928.33109,34133
 Rolling Stoners ,6928.25921,34134
 BIG3 ,6927.637097,34135
 Twin Idol ,6926.755116,34136
 Sally Barker ,6926.425129,34137
 Travis Lee Band ,6924.636502,34138
 Kevin Barnett ,6923.660646,34139
 Della Miles ,6921.607983,34140
 American Sin ,6919.505925,34141
 Engerling ,6919.503705,34142
 Spirit Crusher ,6919.28077,34143
 Dorothea a tribute to DORO ,6918.966552,34144
 Mendonesia ,6918.694926,34145
 Hillbilly Herald ,6918.597427,34146
 Danielle and Jennifer ,6917.380154,34147
 Irenka ,6916.746177,34148
 Raviner ,6916.600548,34149
 Vinyl Sunday ,6915.607807,34150
 Funktional Flow ,6915.534537,34151
 Daughters of Davis ,6915.416477,34152
 Lil' Chris ,6913.528229,34153
 dAVOS ,6912.338679,34154
 Kite Base ,6909.862528,34155
 Charlotte Independence ,6909.660644,34156
 Negramaro Tribute Band ,6908.726401,34157
 Wild Iris ,6907.88155,34158
 Impulse Control ,6907.81837,34159
 Femme Schmidt ,6907.374523,34160
 Kristjan Järvi ,6907.266256,34161
 Christiane Noll ,6905.299934,34162
 Mixed Nuts ,6904.482567,34163
 Irie Sol ,6904.324532,34164
 Impromptu ,6904.12916,34165
 Don Scott ,6903.195945,34166
 Mr. Capone-E ,6903.087181,34167
 REXORIA ,6902.843329,34168
 Curtis McMurtry ,6902.096866,34169
 Kid Ramos ,6901.934331,34170
 Dave Fidler ,6900.25822,34171
 Mr. Cool ,6899.66841,34172
 Lisa Bastoni ,6899.453095,34173
 Jeff Dillon ,6899.199367,34174
 VOLA ,6899.117489,34175
 Gerle Haggard Band ,6898.40617,34176
 Mr. Wallace ,6898.129251,34177
 Iron Gag ,6897.64182,34178
 Alerta Zero ,6897.163046,34179
 Jumpat ,6897.030374,34180
 Ovoid ,6896.893414,34181
 In Hearts Wake_ We Came As Romans_ Storm The Sky ,6895.529074,34182
 Last Hope ,6895.480422,34183
 Thanks Light ,6895.049748,34184
 Darlington Road ,6892.179433,34185
 MaxCHErry ,6891.905275,34186
 Money Chicha ,6891.820755,34187
 What we do in secret ,6891.012482,34188
 Angelos ,6889.518878,34189
 Sarah McLachlan ,6887.239575,34190
 DOT DUO ,6887.148332,34191
 Kid Vegas ,6886.730309,34192
 Intisaar ,6885.951811,34193
 Tegan Marie ,6885.898655,34194
 Trevor Hill ,6885.856114,34195
 Manu Louis ,6885.529902,34196
 Shawn Johnson ,6885.255628,34197
 LIKE TORCHES ,6884.745012,34198
 Andrea Gibson ,6884.541891,34199
 Throttle 21 ,6883.682671,34200
 Alina Bea ,6883.399386,34201
 On Tap ,6883.196959,34202
 Spuyten Duyvil ,6881.012992,34203
 Steven Rod ,6880.453347,34204
 Pamela Machala ,6880.124766,34205
 Cloud Catcher ,6878.698643,34206
 Toki Wright ,6878.096381,34207
 Tom Carr ,6877.782011,34208
 Mätthew J ,6877.696926,34209
 Stevie Parker ,6875.226529,34210
 Slantmusic ,6874.203934,34211
 I Love The 80's ,6874.131079,34212
 Kevin Fuller ,6873.846304,34213
 Dez Williams ,6873.75189,34214
 The Emotron ,6873.704092,34215
 Resolution 88 ,6873.134697,34216
 Winter Mountain ,6872.86936,34217
 Andy Davis ,6872.513577,34218
 Tim Timebomb and Friends ,6871.838379,34219
 Allura ,6865.133733,34220
 Paid In Full ,6864.375274,34221
 Dave Weld and The Imperial Flames - Tour Dates ,6863.697136,34222
 Dusty Marshall ,6862.730842,34223
 The V.I.P.'s ,6862.639344,34224
 Stu Allen ,6861.983192,34225
 JK THE REAPER ,6861.090094,34226
 The Hawkline Monster ,6860.375115,34227
 Special Sauce ,6860.369196,34228
 Fedel ,6860.129891,34229
 Naomi Striemer ,6859.436729,34230
 Patricia Essong ,6857.78724,34231
 Americana-Na ,6856.012009,34232
 Bluetree ,6855.895723,34233
 George Montague ,6854.53916,34234
 Dustin Smith ,6854.486683,34235
 Cuba Percussion ,6854.425914,34236
 Matt Rogers ,6852.880058,34237
 Kind ,6852.849736,34238
 Lucki ,6852.758576,34239
 The Blinders ,6851.361549,34240
 ANIMA (Official) ,6851.301365,34241
 The Floyd Effect ,6850.592602,34242
 Parham ,6849.993108,34243
 Banana Gun ,6846.684556,34244
 NEUTRON ,6846.430965,34245
 TUELO ,6845.877945,34246
 THAT 60's SHOW ,6845.410549,34247
 Bill Muter ,6845.190245,34248
 Chris Madden Music ,6845.007982,34249
 MT. EDDY ,6844.483683,34250
 OCEAN MUSIC ,6844.071356,34251
 Donovan Wolfington ,6842.414205,34252
 Broken Valor ,6841.89675,34253
 Back Alley Barbers ,6841.820532,34254
 Uwe Kaa ,6840.591645,34255
 Paul Najera ,6840.573638,34256
 Skylar Spence ,6840.350075,34257
 Adriano Tenorio DD ,6840.154831,34258
 Two Fisted Law ,6837.748664,34259
 Two Filipinos ,6837.112561,34260
 Mary Jane Lamond & Wendy MacIsaac ,6835.011936,34261
 Ghost B.C. ,6834.266391,34262
 Anthony Rosano and The Conqueroos ,6833.951125,34263
 Onslaught ,6830.94042,34264
 DJ Hippo ,6830.5824,34265
 The Lovely Bad Things ,6829.9126,34266
 YES IM VERY TIRED NOW ,6829.859006,34267
 Machine woman ,6828.596393,34268
 Family Ruin ,6826.075695,34269
 Muscle Beach ,6825.671228,34270
 Richard Kolinka ,6823.347442,34271
 Daniel Hutchens ,6822.681217,34272
 Ronnie Carrier ,6821.21238,34273
 Discordia ,6820.733472,34274
 Mused ,6820.617101,34275
 Pendulum Live ,6820.604173,34276
 Staryend ,6820.0553,34277
 Rakia ,6820.031005,34278
 THE KARMA KILLERS ,6819.504445,34279
 Sam And The Womp ,6819.177206,34280
 Hed PE_ Smile Empty Soul ,6817.810315,34281
 Big Hix ,6817.457403,34282
 Bison Machine ,6817.41263,34283
 Gravespell ,6816.001746,34284
 Tek-One ,6815.504228,34285
 Russian Girlfriends ,6814.575277,34286
 Subsonics ,6813.045331,34287
 Özz Nûjen ,6811.652344,34288
 ChloeandHalle ,6811.243116,34289
 Brian Johannesen ,6808.534835,34290
 DJ Mike Morphine ,6806.363452,34291
 Dave Brogan ,6806.235493,34292
 The Hustlers ,6806.162419,34293
 MSoul ,6804.30888,34294
 Stick Shift ,6802.747149,34295
 Bucovina Orkestar ,6801.356102,34296
 Joel Faviere ,6799.458921,34297
 Head Front Panel ,6799.313305,34298
 Toa Mata Band ,6798.005885,34299
 Alvin és a Mókusok ,6797.528197,34300
 Summer Cannibals ,6797.057371,34301
 Sons of Huns ,6796.17535,34302
 Johann Sebastian Bass ,6795.623606,34303
 28 Degrees Taurus ,6795.578126,34304
 Brandon Callies ,6794.936448,34305
 Center of Disease ,6793.81979,34306
 Elder Grown ,6793.396133,34307
 Cephalotripsy ,6792.533431,34308
 Henk ,6790.610172,34309
 IamG ,6789.544767,34310
 Seething Akira ,6787.836313,34311
 Tilted ,6787.600088,34312
 Lior Ben-Hur ,6787.127054,34313
 Brad Goode ,6787.081651,34314
 Markus Kavka ,6785.746991,34315
 Intermodal ,6785.4453,34316
 Schnipo Schranke ,6783.581966,34317
 The Gallery ,6783.354118,34318
 Manu Payet ,6782.250156,34319
 METAPRISM ,6780.734532,34320
 Nhim ,6780.472939,34321
 Jekyll Wood ,6780.272595,34322
 Within Reach ,6779.792037,34323
 QUEL BORDEL ,6778.917769,34324
 Tom Hunter ,6778.552287,34325
 TheFulcos ,6778.499875,34326
 Rihanna ,6777.516523,34327
 Psy Agency ,6777.501229,34328
 Erasing Never ,6777.437768,34329
 The Washboard Resonators ,6776.273016,34330
 Gunwood ,6773.267287,34331
 Demora ,6773.119564,34332
 Washer ,6772.623699,34333
 Le petit Prince ,6772.550084,34334
 Swearin' ,6770.125926,34335
 Kesha rose ,6769.436905,34336
 Luxtorpeda ,6768.688026,34337
 DJ Quick ,6765.531123,34338
 River Road ,6764.374509,34339
 Band of Silver ,6763.858541,34340
 Dakhma ,6762.418181,34341
 Underling ,6762.067643,34342
 KINGSDOWN ,6760.756673,34343
 Mike Clifford ,6759.071531,34344
 Yellam ,6756.703999,34345
 Eddie Saenz ,6756.239663,34346
 nunofyrbeeswax ,6754.267652,34347
 Proverbial ,6754.193007,34348
 P'tit Luc ,6752.877092,34349
 DJane BKLYN ,6752.068816,34350
 Tenor Madness ,6751.716534,34351
 Milburn ,6750.361553,34352
 Cumberland Run ,6749.64098,34353
 Budai ,6749.234104,34354
 Dead Frequency ,6749.056823,34355
 Moska Project ,6748.992975,34356
 Adam Bricks ,6748.207608,34357
 Rob Kingsley ,6746.970271,34358
 Tony Allen ,6746.795153,34359
 Honka ,6746.401273,34360
 The Britemores ,6745.464787,34361
 Andy Buckner Music ,6744.71687,34362
 MURDER OF CROWS ,6744.37889,34363
 Andre ,6743.613125,34364
 Shane Endsley ,6742.900055,34365
 Black Dawn ,6742.639184,34366
 Pb ,6742.632794,34367
 Terry McBride ,6742.533905,34368
 Mark Erelli ,6742.356603,34369
 Gangus ,6741.704448,34370
 Desmadre ,6740.265386,34371
 Bridges Will Break ,6738.885639,34372
 Ray Prim Music ,6738.427873,34373
 Blaze HoN ,6737.64185,34374
 Black Pacific Music ,6737.225216,34375
 The Mid-Summer Classic ,6736.857438,34376
 ANAKRONIC ,6736.449014,34377
 Fate Under Fire ,6736.432966,34378
 Ola Salo ,6735.793401,34379
 Jake Ward ,6733.201186,34380
 Jon Terrey ,6733.118356,34381
 Josh Roberts & The Hinges ,6732.473814,34382
 Plug In Stereo ,6732.192995,34383
 Jay Style ,6731.186708,34384
 The Happys ,6731.125444,34385
 RVRB ,6730.938749,34386
 White Girl ,6728.541405,34387
 Exhibitionism ,6727.817314,34388
 Ryan Collins ,6726.025139,34389
 Church Booty ,6725.976724,34390
 Sullivan Fortner ,6725.536594,34391
 SUPER WHATEVR ,6723.196603,34392
 DJ Avi ,6720.681052,34393
 GIUNGLA ,6720.249963,34394
 HILDEBRANDT ,6720.031928,34395
 THE ARK BAND ,6718.789412,34396
 Snug Harbor ,6718.665469,34397
 MyDolls ,6716.51663,34398
 The Baltic States ,6716.42753,34399
 Naïssam Jalal ,6715.842979,34400
 Ryan Dupree ,6713.902146,34401
 Mountain Sounds ,6713.818532,34402
 The Bleeps ,6713.465228,34403
 Streetlight Circus ,6713.368772,34404
 Harry Hookey ,6712.584436,34405
 Knuckledust ,6710.461396,34406
 Matt Mullins ,6710.184745,34407
 Jess J ,6710.111219,34408
 Tamra ,6709.906332,34409
 Disastroid ,6708.959006,34410
 Dear Tatiana ,6708.50025,34411
 Mat Franco ,6706.405225,34412
 Tamer Abu Ghazaleh ,6706.043056,34413
 Neweva ,6705.922872,34414
 DJ Peter Gunz ,6705.542006,34415
 Myrrh ,6705.330423,34416
 Die Goldenen Zitronen ,6704.721063,34417
 Seed to Tree ,6704.543942,34418
 Red Lebanon ,6703.996183,34419
 Echoheart ,6702.217756,34420
 City of Trees Brass Band ,6700.387823,34421
 Hey! Manchester ,6696.422548,34422
 Death DTA ,6694.724532,34423
 Natasha Owens ,6694.027863,34424
 Own.Way ,6693.243211,34425
 Slip and the Spinouts ,6692.528167,34426
 Coez ,6692.338324,34427
 Awaken ,6692.299399,34428
 Ania D?browska ,6691.979639,34429
 Garrett Lebeau ,6691.489744,34430
 Joey Briggs ,6691.139207,34431
 The Elvis Years ,6689.996719,34432
 Abrams ,6689.49475,34433
 The Cosmonautz ,6688.297941,34434
 Josh Dupont ,6687.958943,34435
 New Berlin ,6687.949134,34436
 Split Squad ,6687.418866,34437
 Ling Ling ,6687.082918,34438
 Sarah Jaffe ,6686.588622,34439
 Scott Freeman ,6686.461492,34440
 Dellarge ,6685.964697,34441
 Short Leash ,6685.580566,34442
 Country Wide Rocks ,6684.320581,34443
 The Allman Brothers Band ,6684.145728,34444
 LE$ ,6680.777375,34445
 Erin Detherage ,6680.307884,34446
 Dany P ,6677.48003,34447
 Dendera ,6677.073104,34448
 Svet Music ,6673.883092,34449
 Kimi Most ,6672.921331,34450
 London's Dungeon ,6672.798155,34451
 Edenbridge ,6672.705325,34452
 Marion Mayer ,6672.428201,34453
 Come Wind ,6672.046084,34454
 Feat Z-Trip ,6670.140044,34455
 Bob Fox ,6669.708409,34456
 LA TROUPE DU JAMEL COMEDY CLUB ,6669.453783,34457
 Pawnshop Roses ,6667.476829,34458
 Giving Up ,6667.034357,34459
 Tiger Blue ,6667.031249,34460
 Jim Ghedi ,6666.75607,34461
 Mat Kerekes ,6666.717785,34462
 Court Nance ,6666.691826,34463
 Peg Parnevik ,6666.321746,34464
 Steal Your Peach ,6666.2685,34465
 Bruce Prichard ,6665.584551,34466
 Sebastian Groth ,6665.432845,34467
 Let's Get Weird ,6662.423647,34468
 Soave ,6662.408106,34469
 Pins of Light ,6662.214534,34470
 The Kickstand Band ,6660.991248,34471
 Duncan Disorderly & the Scallywags ,6659.884186,34472
 Bishop Gunn ,6659.734637,34473
 Scot Sax & Suzie Brown ,6659.437775,34474
 Seryn ,6658.885116,34475
 Cutthroat Shamrock ,6658.04881,34476
 J-Ax e Fedez ,6657.891313,34477
 Dear You ,6656.867186,34478
 AMP Trio ,6656.720835,34479
 Girma Bèyènè ,6655.737567,34480
 Kiel Grove ,6655.355649,34481
 David Flett ,6655.196806,34482
 Amenaza ,6654.927947,34483
 Imagined Herbal Flows ,6654.572299,34484
 Pierre Bertrand ,6653.82131,34485
 Max García Conover ,6653.371291,34486
 Charlie Wood ,6652.42093,34487
 THE LAST MORNING SOUNDTRACK ,6651.772925,34488
 Agori Tribe ,6651.300505,34489
 Music Jam ,6650.212822,34490
 Dani Wilde ,6649.080556,34491
 Earnest Pugh ,6649.053042,34492
 Stoop Goodnoise ,6647.121133,34493
 Mercy Bell ,6646.611224,34494
 Milton Jones ,6644.805132,34495
 Mangled ,6644.679074,34496
 Beauty Pill ,6644.266722,34497
 Ashes of Babylon ,6643.873827,34498
 CC Martin ,6642.456409,34499
 Hyne ,6642.139691,34500
 Burnell Washburn ,6641.894056,34501
 What's Eating Gilbert ,6641.856528,34502
 Annabel Lee ,6641.272221,34503
 J.R. ,6641.076331,34504
 STRANGE CHANGES ,6640.584568,34505
 Bones ,6640.062814,34506
 Fisk Jubilee Singers ,6638.139553,34507
 Papa Mali ,6637.593531,34508
 Travers Geoffray ,6637.368786,34509
 Nick Helm ,6637.200309,34510
 The Rare Occasions ,6637.112011,34511
 Jeremy Healy ,6636.544208,34512
 Chrash ,6636.284394,34513
 Bernie Torme ,6636.058977,34514
 Early June ,6634.788902,34515
 Rock Legenden ,6634.732313,34516
 Beach Day ,6634.479419,34517
 NALE ,6630.121783,34518
 Hassan Shakur ,6629.798171,34519
 Romance On a Rocketship ,6625.253965,34520
 Belles & Whistles ,6625.086536,34521
 Owen Danoff ,6624.403661,34522
 Grant Sabin ,6624.12844,34523
 Steve Dorff ,6623.5118,34524
 Vermin Womb ,6622.89853,34525
 Juliette Armanet ,6622.466782,34526
 Too Attached ,6621.497305,34527
 Mourad Merzouki ,6620.199942,34528
 Mack Fleetwood ,6619.38797,34529
 Lisa Kekaula ,6618.84004,34530
 Common Center ,6617.975731,34531
 Basqué (Official Fanpage) ,6616.759507,34532
 Mindmaze ,6616.643813,34533
 DJ Sutura (offiziell) ,6615.916211,34534
 Dire Straits Tribute-Turné ,6614.018979,34535
 RISK party X TEKNET ,6613.732957,34536
 BLACKNERD(ninjas) ,6613.657349,34537
 Krahnstøver ,6613.263477,34538
 The Highlife Band ,6612.523634,34539
 Against the Plagues ,6612.317115,34540
 The Palmer's ,6611.409766,34541
 Mark Stone and the Dirty Country Band ,6610.080136,34542
 Pauline Reese ,6609.28672,34543
 VIA ,6608.912915,34544
 Midlake ,6608.562909,34545
 Kiss The Sky - The Jimi Hendrix RE-Experience ,6608.114616,34546
 Atomics Rotors ,6608.056093,34547
 The Evergreens ,6607.959711,34548
 Kohndo ,6604.616706,34549
 KoQa BeatBox ,6603.604691,34550
 Spray Tan ,6603.603333,34551
 The British Invasion Experience ,6602.936879,34552
 Dimensions SoundSystem ,6602.202188,34553
 Auspex ,6601.242712,34554
 Peter Von Toy ,6600.219021,34555
 Asking For A Surprise ,6599.366408,34556
 Jack And The Bear ,6598.558984,34557
 Mark May Band ,6598.523714,34558
 Iamdjkirk ,6597.978593,34559
 Grinder ,6597.738504,34560
 The Moondoggies ,6597.518407,34561
 Bockz Cuddah ,6596.270072,34562
 As They Sleep ,6595.972564,34563
 J. D. Overdrive ,6595.806136,34564
 Kill Devil Hill ,6594.879307,34565
 Misled ,6593.010539,34566
 Blank Manuskript ,6589.831902,34567
 Josh Johansson Music ,6589.793984,34568
 Witchrider ,6589.039783,34569
 Liz ,6586.749998,34570
 James Getman ,6585.592869,34571
 SKYROCKET! ,6584.835322,34572
 Brad Brock ,6584.111575,34573
 Bessa ,6583.470885,34574
 Bruiser Queen ,6582.936882,34575
 Iona Fyfe ,6580.919179,34576
 Loki Starfish ,6580.289835,34577
 Wrenn ,6579.320758,34578
 The End Men ,6577.464594,34579
 Ruination ,6576.398773,34580
 Crawdad Republic ,6576.0469,34581
 DoveDriver ,6576.01268,34582
 Jaffa Surfa ,6574.728056,34583
 RIBS ,6574.681892,34584
 WARBEAST ,6574.675603,34585
 Viktor Talking Machine ,6572.945046,34586
 Chris Lomheim ,6571.702147,34587
 LILLAKE ,6570.774292,34588
 Dan Terminus ,6570.505738,34589
 OIL CARTER ,6570.031101,34590
 Vanessa Sukowski ,6568.264006,34591
 Rebekah Pulley ,6566.923528,34592
 Subhuman ,6566.333685,34593
 Echo Black ,6566.215503,34594
 Eric Ramsey ,6565.977822,34595
 Skarlett Riot ,6564.678313,34596
 Fair to Midland ,6563.585378,34597
 DEAN FIELDS ,6562.16357,34598
 The Emo Band ,6561.076883,34599
 The FUs ,6559.958233,34600
 Tri State Corner ,6558.722845,34601
 Chris Blacker ,6557.972962,34602
 Jennifer Lyn Music ,6557.24553,34603
 Die Tentakel Von Delphi ,6554.315727,34604
 Westerner ,6554.258025,34605
 One Sentence. Supervisor ,6552.673321,34606
 w/ The Devil Makes Three ,6552.34369,34607
 Max Stalling ,6552.108509,34608
 Tony Rogers ,6550.810764,34609
 SLAVES EUROPEAN TOUR 2017 ,6550.642362,34610
 Adam Nitti ,6549.889893,34611
 The Soaks ,6548.896312,34612
 Rochester Rhinos ,6548.852266,34613
 Tracy K ,6547.681574,34614
 Dakesis ,6547.514998,34615
 Magnetic Ghost ,6547.336581,34616
 Paul Liddell ,6545.229911,34617
 Milk People ,6544.292352,34618
 Kyle McNeill ,6542.103948,34619
 Kevin Ceballo ,6541.727991,34620
 Behind the Fallen ,6541.093805,34621
 All Dogs ,6540.696197,34622
 iwrestledabearonce_ Oceano_ For All Those Sleeping ,6539.7038,34623
 Havilah Rand ,6539.073028,34624
 The Hellflowers ,6538.855684,34625
 Jimetta Rose ,6537.421177,34626
 Dacruz ,6536.702771,34627
 Dustin Wong ,6535.900475,34628
 REda daRE ,6535.273398,34629
 Sinden ,6534.571217,34630
 Oleander ,6534.324207,34631
 13 Scars ,6531.236984,34632
 Nick Cincotta ,6530.205249,34633
 LaureNicole ,6529.989692,34634
 Dear Lemon Trees ,6529.595254,34635
 Ultimate Stones Band ,6527.890583,34636
 Thickets ,6527.4995,34637
 Wicked World ,6527.319323,34638
 Songe ,6526.698608,34639
 Remco Beekwilder ,6525.940726,34640
 Outside at Night ,6525.676906,34641
 The Frye ,6524.68774,34642
 Hi-Fi Hangover ,6522.946763,34643
 PALMA ,6522.870301,34644
 Lords of the Trident ,6520.845747,34645
 Mike & the Moonpies ,6520.519185,34646
 The Borderline Something ,6519.862114,34647
 Paul Hernandez ,6519.322681,34648
 The Speed Of Sound In Seawater ,6518.651578,34649
 Calvin Love ,6517.734494,34650
 Kyco ,6517.306497,34651
 Titiyo ,6517.275811,34652
 Clouds & Mountains ,6516.902449,34653
 Collectif 13 ,6515.22841,34654
 Paul Di'Anno ,6514.814128,34655
 Exhumed_ Waking The Cadaver_ Abiotic ,6514.609197,34656
 Serac ,6514.434666,34657
 Through Our Eyes ,6512.44414,34658
 oceanstone ,6511.4552,34659
 Rich People ,6511.083358,34660
 Jon Wayne & the Pain ,6510.844169,34661
 Big in Japan ,6510.835854,34662
 Ton Don ,6510.38506,34663
 Coyote Talk ,6510.086094,34664
 Ost+Front ,6510.025215,34665
 Blechbläserensemble Ludwig Güttler ,6510.02023,34666
 Trang Fødsel ,6509.353327,34667
 No Doubt ,6508.87135,34668
 The Weatherside Whiskey Band ,6508.400042,34669
 Bradley Hathaway ,6508.175549,34670
 Amy Lynn ,6508.099819,34671
 Obsolete Incarnation ,6507.496843,34672
 Reversible ,6507.382664,34673
 MARTIN TELEMANN ,6507.020706,34674
