 nom,km,pos
 Plastician ,878732.473365,333
 Bret Michaels ,877703.298896,334
 Dusky ,877341.031396,335
 BASS ,877262.18199,336
 Switchfoot ,876877.734609,337
 LMFAO ,876465.878203,338
 Donavon Frankenreiter ,875234.056957,339
 Dee Dee Bridgewater ,872059.604109,340
 Beyond ,871601.500692,341
 Audiofly ,870978.818145,342
 Papa Roach ,869990.915415,343
 Paramore ,867178.649407,344
 John O'Callaghan ,866666.314547,345
 Lounge ,865082.173802,346
 Louie Vega ,865029.919641,347
 Steve Earle ,864342.543227,348
 Friction ,863660.699284,349
 Megadeth ,862858.126466,350
 Nick Curly ,862653.491123,351
 Catz N Dogz ,862517.002652,352
 Michael Franti & Spearhead ,862316.636606,353
 Timmy Trumpet ,862309.148713,354
 Adam Beyer ,861881.622211,355
 Testament ,861166.153297,356
 Headhunterz ,858951.028962,357
 Pitbull ,857487.87924,358
 Hot Since 82 ,857097.381988,359
 Uner ,856604.265337,360
 Jimmy Edgar ,856547.514302,361
 Main floor ,856220.621771,362
 New Found Glory ,855971.633695,363
 Asking Alexandria ,855049.272873,364
 Alice Cooper ,853363.499295,365
 Reel Big Fish ,853193.588946,366
 Maceo Parker ,851913.285893,367
 Kool & The Gang ,851423.810529,368
 MEN ,851003.241174,369
 DJ Sneak ,850187.531393,370
 Judy Collins ,849592.941624,371
 Bone Thugs-n-Harmony ,848895.235252,372
 Peter White ,848399.809459,373
 Gorgon City ,847439.866807,374
 The Show ,846552.700925,375
 Joshua Redman ,845757.699893,376
 Mayday Parade ,845024.445768,377
 MAKJ ,844284.170961,378
 Nasty ,844214.236421,379
 Dj Tennis ,844213.236413,380
 Umek ,843873.87823,381
 Coheed and Cambria ,843837.664803,382
 Jesse Rose ,843439.109677,383
 Rise Against ,843331.141953,384
 Dimitri Vegas And Like Mike ,841412.56436,385
 DJ Shadow ,840798.675637,386
 Flying Lotus ,839049.773137,387
 Muse ,838981.218658,388
 Bayside ,838899.801305,389
 The Gaslamp Killer ,837875.112252,390
 Jack Beats ,837047.435276,391
 Willie Nelson ,836781.404769,392
 Lee Burridge ,835753.033691,393
 VINAI ,835470.132063,394
 Tim Sweeney ,835282.932282,395
 Audien ,835214.870915,396
 Carnifex ,833933.22264,397
 The Word Alive ,833874.026574,398
 Norman Doray ,833825.039558,399
 George Clinton & Parliament Funkadelic ,833480.016008,400
 Josh Wink ,833314.430173,401
 Ben Harper ,832439.101641,402
 Don Diablo ,829122.183581,403
 Jason Mraz ,828537.851321,404
 The Temper Trap ,827285.113385,405
 Christian Smith ,827130.569829,406
 Dianne Reeves ,826299.728491,407
 Bassnectar ,825565.926202,408
 Tale Of Us ,825060.506986,409
 Barem ,825039.409621,410
 Orjan Nilsen ,823733.112118,411
 Pillowtalk ,821744.066567,412
 Reverend Horton Heat ,821498.272983,413
 Satisfaction ,819626.79556,414
 Tom Swoon ,819357.278804,415
 Skillet ,819117.602103,416
 Francois K ,818729.171029,417
 Flux Pavilion ,818663.987119,418
 The Kooks ,818076.456582,419
 Korn ,817119.599064,420
 Robert Randolph & the Family Band ,816477.02558,421
 MC ,815473.219501,422
 Two Door Cinema Club ,814239.843841,423
 Joe Louis Walker ,813998.742772,424
 Steve Bug ,813637.240976,425
 DJ Vadim ,813133.812696,426
 Esperanza Spalding ,812210.062105,427
 Miguel Migs ,811748.56429,428
 The Oak Ridge Boys ,811689.361305,429
 Dennis Ferrer ,810577.190374,430
 Nina Kraviz ,810497.871416,431
 Madball ,810002.217377,432
 Styx ,809669.951709,433
 Clutch ,809436.420816,434
 Chase & Status ,809020.546934,435
 Colin Hay ,808715.898063,436
 The Book of Mormon ,807911.587611,437
 Bjorn Again ,806790.862573,438
 BEN UFO ,806663.751824,439
 Saturday ,804710.656495,440
 Tegan and Sara ,804357.498878,441
 Helena Legend ,803719.138784,442
 Jake Shimabukuro ,803474.406994,443
 Kryder ,803423.441535,444
 Chris Smither ,802114.005559,445
 Celtic Woman ,801444.653122,446
 The Acacia Strain ,801180.908499,447
 Anti-Flag ,800664.02955,448
 Cold War Kids ,799652.877114,449
 Loadstar ,799484.108195,450
 Stephan Bodzin ,798445.756255,451
 The Flatliners ,797743.242206,452
 TOKiMONSTA ,796877.619357,453
 Eats Everything ,796848.307859,454
 The Kings ,796427.257006,455
 Bad Boy Bill ,796149.880406,456
 Memphis May Fire ,796042.536064,457
 Colette ,795764.139133,458
 Four Year Strong ,794860.840607,459
 Ana Popovic ,793225.222649,460
 The Drifters ,792930.814728,461
 TJR ,791930.92217,462
 The Dillinger Escape Plan ,791831.089153,463
 Carmina Burana ,791403.950377,464
 Flogging Molly ,790999.083276,465
 Duke Dumont ,790472.700457,466
 Darude ,790251.988117,467
 12th Planet ,788242.458962,468
 BEHEMOTH ,787633.987572,469
 Alt-J ,787425.389978,470
 Atmosphere ,787276.818648,471
 Orleans Avenue ,786867.411659,472
 Ben Gold ,785379.462046,473
 Manufactured Superstars ,784711.082818,474
 Dieselboy ,784321.460805,475
 Chris Young ,784149.915618,476
 Harry Manx ,784075.44154,477
 DJ Juicy M ,783522.454217,478
 Band of Horses ,783504.042216,479
 Angélique Kidjo ,783296.09604,480
 Fansintown ,783062.297512,481
 Disney on Ice ,780223.815529,482
 Ben Klock ,779702.178373,483
 Donald Glaude ,779449.715619,484
 Queensrÿche ,779398.05706,485
 Guy J ,777885.116276,486
 Rebirth Brass Band ,776797.638521,487
 James Taylor ,776712.676623,488
 Riva Starr ,776491.458022,489
 Dan Deacon ,776328.53634,490
 Dixon ,775670.043251,491
 Kurt Vile ,775667.127932,492
 Biffy Clyro ,775129.386103,493
 The Manhattan Transfer ,775108.585322,494
 Method Man ,774923.804307,495
 The Roots ,774337.88582,496
 Tower of Power ,772393.770763,497
 Axwell ,771767.218088,498
 Judge Jules ,771198.398681,499
 Mike Stern ,770978.779176,500
 Caspa ,770697.639465,501
 Branford Marsalis ,770543.838282,502
 Jochen Miller ,769708.7525,503
 John ,768829.280326,504
 The Charlie Daniels Band ,768563.791036,505
 Pierce the Veil ,766954.000839,506
 Sub Focus ,766229.180355,507
 Blue Öyster Cult ,765892.783114,508
 Breathe Carolina ,765865.335807,509
 Teenage Mutants ,765839.167347,510
 Concert ,765342.324911,511
 What So Not ,763719.788362,512
 Mad Professor ,763458.613418,513
 Wiz Khalifa ,762880.916401,514
 Kenny Rogers ,762426.153975,515
 Booka Shade ,762322.933528,516
 Agnostic Front ,762018.633789,517
 RL Grime ,761680.466182,518
 All That Remains ,761402.518501,519
 Zomboy ,761101.877313,520
 The Wonder Years ,760807.004876,521
 Steep Canyon Rangers ,760503.517767,522
 Bob Log III ,760413.51491,523
 Thirty Seconds to Mars ,760071.86487,524
 DJ Jay ,759545.222244,525
 Blasterjaxx ,759263.110706,526
 Family Force 5 ,758689.190059,527
